Tensao [V];Corrente [A]
-10;-4,575813E-10
-9,95;-4,327965E-10
-9,9;-4,160686E-10
-9,85;-4,038269E-10
-9,8;-3,951628E-10
-9,75;-3,908582E-10
-9,7;-3,80182E-10
-9,65;-3,783143E-10
-9,6;-3,710685E-10
-9,55;-3,634079E-10
-9,5;-3,57315E-10
-9,45;-3,55513E-10
-9,4;-3,539018E-10
-9,35;-3,45899E-10
-9,3;-3,45025E-10
-9,25;-3,431201E-10
-9,2;-3,382755E-10
-9,15;-3,33447E-10
-9,1;-3,28101E-10
-9,05;-3,266943E-10
-9;-3,259173E-10
-8,95;-3,183633E-10
-8,9;-3,1657E-10
-8,85;-3,162208E-10
-8,8;-3,139422E-10
-8,75;-3,059952E-10
-8,7;-3,06929E-10
-8,65;-3,032956E-10
-8,6;-3,017674E-10
-8,55;-3,043123E-10
-8,5;-2,974058E-10
-8,45;-2,889734E-10
-8,4;-2,890639E-10
-8,35;-2,864942E-10
-8,3;-2,834403E-10
-8,25;-2,808693E-10
-8,2;-2,784247E-10
-8,15;-2,773374E-10
-8,1;-2,72478E-10
-8,05;-2,728481E-10
-8;-2,675725E-10
-7,95;-2,658141E-10
-7,9;-2,637866E-10
-7,85;-2,643341E-10
-7,8;-2,601495E-10
-7,75;-2,559897E-10
-7,7;-2,537296E-10
-7,65;-2,49675E-10
-7,6;-2,474782E-10
-7,55;-2,487624E-10
-7,5;-2,454795E-10
-7,45;-2,419314E-10
-7,4;-2,346794E-10
-7,35;-2,359907E-10
-7,3;-2,309751E-10
-7,25;-2,287869E-10
-7,2;-2,278583E-10
-7,15;-2,272253E-10
-7,1;-2,207051E-10
-7,05;-2,188723E-10
-7;-2,169043E-10
-6,95;-2,133763E-10
-6,9;-2,123792E-10
-6,85;-2,138318E-10
-6,8;-2,10533E-10
-6,75;-2,08394E-10
-6,7;-2,011357E-10
-6,65;-2,02155E-10
-6,6;-2,01033E-10
-6,55;-1,968335E-10
-6,5;-1,923244E-10
-6,45;-1,891147E-10
-6,4;-1,92598E-10
-6,35;-1,851444E-10
-6,3;-1,838586E-10
-6,25;-1,836917E-10
-6,2;-1,804E-10
-6,15;-1,758687E-10
-6,1;-1,745609E-10
-6,05;-1,745373E-10
-6;-1,742475E-10
-5,95;-1,696866E-10
-5,9;-1,68001E-10
-5,85;-1,628097E-10
-5,8;-1,641113E-10
-5,75;-1,615626E-10
-5,7;-1,592876E-10
-5,65;-1,570263E-10
-5,6;-1,527327E-10
-5,55;-1,519352E-10
-5,5;-1,455883E-10
-5,45;-1,445406E-10
-5,4;-1,435015E-10
-5,35;-1,412776E-10
-5,3;-1,403486E-10
-5,25;-1,34553E-10
-5,2;-1,323893E-10
-5,15;-1,371857E-10
-5,1;-1,326135E-10
-5,05;-1,278667E-10
-5;-1,22663E-10
-4,95;-1,2205E-10
-4,9;-1,188141E-10
-4,85;-1,187274E-10
-4,8;-1,143645E-10
-4,75;-1,168487E-10
-4,7;-1,137007E-10
-4,65;-1,075087E-10
-4,6;-1,041278E-10
-4,55;-1,058529E-10
-4,5;-1,040992E-10
-4,45;-1,008349E-10
-4,4;-9,667138E-11
-4,35;-9,503538E-11
-4,3;-9,295614E-11
-4,25;-9,074186E-11
-4,2;-8,686935E-11
-4,15;-8,580682E-11
-4,1;-8,775101E-11
-4,05;-8,375103E-11
-4;-7,814725E-11
-3,95;-7,925072E-11
-3,9;-7,304998E-11
-3,85;-7,394536E-11
-3,8;-7,158124E-11
-3,75;-6,715519E-11
-3,7;-6,624371E-11
-3,65;-6,174213E-11
-3,6;-5,923313E-11
-3,55;-5,670305E-11
-3,5;-5,71761E-11
-3,45;-5,377795E-11
-3,4;-4,798097E-11
-3,35;-4,693202E-11
-3,3;-4,411593E-11
-3,25;-4,164778E-11
-3,2;-3,862604E-11
-3,15;-3,593624E-11
-3,1;-3,472385E-11
-3,05;-3,004516E-11
-3;-2,600301E-11
-2,95;-2,039922E-11
-2,9;-2,141594E-11
-2,85;-1,786545E-11
-2,8;-1,514219E-11
-2,75;-1,131924E-11
-2,7;-8,360685E-12
-2,65;-1,561838E-12
-2,6;-2,070235E-13
-2,55;1,184955E-12
-2,5;5,139222E-12
-2,45;1,051024E-11
-2,4;1,590974E-11
-2,35;1,878039E-11
-2,3;2,416998E-11
-2,25;2,288202E-11
-2,2;3,250205E-11
-2,15;3,814303E-11
-2,1;3,967744E-11
-2,05;3,606374E-11
-2;4,740146E-11
-1,95;5,377064E-11
-1,9;5,334335E-11
-1,85;6,171259E-11
-1,8;6,969047E-11
-1,75;7,618973E-11
-1,7;8,16053E-11
