Tensao [V];Corrente [A]
-10;-4,916803E-10
-9,95;-4,589765E-10
-9,9;-4,396079E-10
-9,85;-4,269182E-10
-9,8;-4,175301E-10
-9,75;-4,097708E-10
-9,7;-4,007679E-10
-9,65;-3,954625E-10
-9,6;-3,921587E-10
-9,55;-3,877212E-10
-9,5;-3,82894E-10
-9,45;-3,796928E-10
-9,4;-3,758351E-10
-9,35;-3,713895E-10
-9,3;-3,670672E-10
-9,25;-3,636109E-10
-9,2;-3,670845E-10
-9,15;-3,628318E-10
-9,1;-3,60257E-10
-9,05;-3,56931E-10
-9;-3,520439E-10
-8,95;-3,484874E-10
-8,9;-3,434497E-10
-8,85;-3,412279E-10
-8,8;-3,404413E-10
-8,75;-3,365169E-10
-8,7;-3,329874E-10
-8,65;-3,289774E-10
-8,6;-3,269539E-10
-8,55;-3,247584E-10
-8,5;-3,215162E-10
-8,45;-3,195558E-10
-8,4;-3,174853E-10
-8,35;-3,131247E-10
-8,3;-3,11411E-10
-8,25;-3,074654E-10
-8,2;-3,066638E-10
-8,15;-3,039517E-10
-8,1;-3,013042E-10
-8,05;-2,982999E-10
-8;-2,972783E-10
-7,95;-2,955926E-10
-7,9;-2,920409E-10
-7,85;-2,883604E-10
-7,8;-2,863615E-10
-7,75;-2,845808E-10
-7,7;-2,822166E-10
-7,65;-2,796024E-10
-7,6;-2,772161E-10
-7,55;-2,765474E-10
-7,5;-2,730389E-10
-7,45;-2,698785E-10
-7,4;-2,685187E-10
-7,35;-2,670213E-10
-7,3;-2,645348E-10
-7,25;-2,609508E-10
-7,2;-2,591986E-10
-7,15;-2,584032E-10
-7,1;-2,533149E-10
-7,05;-2,510671E-10
-7;-2,500142E-10
-6,95;-2,471786E-10
-6,9;-2,473184E-10
-6,85;-2,436837E-10
-6,8;-2,397666E-10
-6,75;-2,368787E-10
-6,7;-2,364018E-10
-6,65;-2,349455E-10
-6,6;-2,305603E-10
-6,55;-2,286207E-10
-6,5;-2,258828E-10
-6,45;-2,232313E-10
-6,4;-2,209441E-10
-6,35;-2,197266E-10
-6,3;-2,177862E-10
-6,25;-2,161861E-10
-6,2;-2,117179E-10
-6,15;-2,090876E-10
-6,1;-2,090502E-10
-6,05;-2,053192E-10
-6;-2,029798E-10
-5,95;-2,019196E-10
-5,9;-2,00847E-10
-5,85;-1,962255E-10
-5,8;-1,950838E-10
-5,75;-1,938403E-10
-5,7;-1,918317E-10
-5,65;-1,887628E-10
-5,6;-1,863764E-10
-5,55;-1,856372E-10
-5,5;-1,822934E-10
-5,45;-1,799862E-10
-5,4;-1,77258E-10
-5,35;-1,766462E-10
-5,3;-1,759639E-10
-5,25;-1,70484E-10
-5,2;-1,678847E-10
-5,15;-1,671441E-10
-5,1;-1,651402E-10
-5,05;-1,624282E-10
-5;-1,591043E-10
-4,95;-1,58111E-10
-4,9;-1,580702E-10
-4,85;-1,534163E-10
-4,8;-1,514126E-10
-4,75;-1,495264E-10
-4,7;-1,473185E-10
-4,65;-1,44506E-10
-4,6;-1,418359E-10
-4,55;-1,414E-10
-4,5;-1,408565E-10
-4,45;-1,372847E-10
-4,4;-1,340327E-10
-4,35;-1,316897E-10
-4,3;-1,299708E-10
-4,25;-1,2753E-10
-4,2;-1,233539E-10
-4,15;-1,218791E-10
-4,1;-1,208141E-10
-4,05;-1,173403E-10
-4;-1,148338E-10
-3,95;-1,126208E-10
-3,9;-1,109836E-10
-3,85;-1,086083E-10
-3,8;-1,067024E-10
-3,75;-1,036844E-10
-3,7;-9,986025E-11
-3,65;-9,76906E-11
-3,6;-9,460691E-11
-3,55;-9,16794E-11
-3,5;-9,002728E-11
-3,45;-8,648919E-11
-3,4;-8,543408E-11
-3,35;-8,180806E-11
-3,3;-7,865873E-11
-3,25;-7,680358E-11
-3,2;-7,296452E-11
-3,15;-7,171255E-11
-3,1;-7,006543E-11
-3,05;-6,674154E-11
-3;-6,290374E-11
-2,95;-6,053964E-11
-2,9;-5,819409E-11
-2,85;-5,594884E-11
-2,8;-5,208384E-11
-2,75;-4,901626E-11
-2,7;-4,592893E-11
-2,65;-4,338771E-11
-2,6;-3,961927E-11
-2,55;-3,567742E-11
-2,5;-3,268048E-11
-2,45;-2,942347E-11
-2,4;-2,615532E-11
-2,35;-2,372805E-11
-2,3;-1,945185E-11
-2,25;-1,59744E-11
-2,2;-1,206104E-11
-2,15;-7,902468E-12
-2,1;-3,112324E-12
-2,05;4,561161E-14
-2;5,850076E-12
-1,95;1,19468E-11
-1,9;1,651409E-11
-1,85;2,239036E-11
-1,8;2,875334E-11
-1,75;3,689964E-11
-1,7;4,4615E-11
-1,65;5,299166E-11
-1,6;6,29423E-11
-1,55;7,335246E-11
-1,5;8,826671E-11
-1,45;1,018002E-10
-1,4;1,190587E-10
-1,35;1,363792E-10
-1,3;1,577827E-10
-1,25;1,826714E-10
-1,2;2,183834E-10
-1,15;2,647137E-10
-1,1;3,318223E-10
-1,05;4,262878E-10
-1;5,714337E-10
-0,95;7,698771E-10
-0,9;1,065126E-09
-0,85;1,44577E-09
-0,8;1,979162E-09
-0,75;2,832767E-09
-0,7;3,584457E-09
-0,65;4,708102E-09
-0,6;6,315937E-09
-0,55;8,169867E-09
-0,5;1,056349E-08
-0,45;1,343678E-08
-0,4;1,698726E-08
-0,35;2,297023E-08
-0,3;2,771606E-08
-0,25;3,263713E-08
-0,2;3,775523E-08
-0,15;4,302805E-08
-0,1;4,828526E-08
-0,05;5,360052E-08
0;5,882225E-08
0,05;6,406366E-08
0,1;6,920386E-08
