Tensao [V];Corrente [A]
-10;-4,461241E-10
-9,9;-4,020851E-10
-9,8;-3,814708E-10
-9,7;-3,65368E-10
-9,6;-3,494792E-10
-9,5;-3,37499E-10
-9,4;-3,27624E-10
-9,3;-3,200871E-10
-9,2;-3,101452E-10
-9,1;-3,027879E-10
-9;-2,954874E-10
-8,9;-2,886738E-10
-8,8;-2,807382E-10
-8,7;-2,757066E-10
-8,6;-2,704766E-10
-8,5;-2,647726E-10
-8,4;-2,584124E-10
-8,3;-2,534216E-10
-8,2;-2,491317E-10
-8,1;-2,427069E-10
-8;-2,354399E-10
-7,9;-2,306882E-10
-7,8;-2,244195E-10
-7,7;-2,212217E-10
-7,6;-2,152082E-10
-7,5;-2,100168E-10
-7,4;-2,068094E-10
-7,3;-2,015228E-10
-7,2;-1,961778E-10
-7,1;-1,914481E-10
-7;-1,862668E-10
-6,9;-1,838062E-10
-6,8;-1,774332E-10
-6,7;-1,700649E-10
-6,6;-1,689145E-10
-6,5;-1,655744E-10
-6,4;-1,593948E-10
-6,3;-1,551507E-10
-6,2;-1,496622E-10
-6,1;-1,459817E-10
-6;-1,413674E-10
-5,9;-1,369648E-10
-5,8;-1,330824E-10
-5,7;-1,306452E-10
-5,6;-1,254279E-10
-5,5;-1,195083E-10
-5,4;-1,167603E-10
-5,3;-1,142452E-10
-5,2;-1,076259E-10
-5,1;-1,045485E-10
-5;-1,018203E-10
-4,9;-9,669084E-11
-4,8;-9,027468E-11
-4,7;-8,349562E-11
-4,6;-8,031553E-11
-4,5;-7,90362E-11
-4,4;-7,153762E-11
-4,3;-6,604534E-11
-4,2;-6,057783E-11
-4,1;-5,887871E-11
-4;-5,398956E-11
-3,9;-4,79635E-11
-3,8;-4,304084E-11
-3,7;-3,911141E-11
-3,6;-3,308407E-11
-3,5;-2,821594E-11
-3,4;-2,188521E-11
-3,3;-1,873473E-11
-3,2;-1,264304E-11
-3,1;-5,068984E-12
-3;-1,61137E-12
-2,9;3,005419E-12
-2,8;1,077151E-11
-2,7;1,718895E-11
-2,6;2,47606E-11
-2,5;2,987029E-11
-2,4;3,817387E-11
-2,3;4,863967E-11
-2,2;5,456299E-11
-2,1;6,487897E-11
-2;7,358379E-11
-1,9;8,490412E-11
-1,8;9,483371E-11
-1,7;1,080562E-10
-1,6;1,210497E-10
-1,5;1,388234E-10
-1,4;1,561846E-10
-1,3;1,832155E-10
-1,2;2,173126E-10
-1,1;2,82484E-10
-1;4,124297E-10
-0,9;6,769691E-10
-0,8;1,164361E-09
-0,7;2,044926E-09
-0,6;4,039157E-09
-0,5;5,744367E-09
-0,4;9,19062E-09
-0,3;1,395174E-08
-0,2;1,946806E-08
-0,1;2,79321E-08
0;3,420319E-08
0,1;4,036959E-08
0,2;4,634139E-08
0,3;5,176994E-08
0,4;5,702984E-08
0,5;6,220928E-08
0,6;6,720358E-08
0,7;7,179285E-08
0,8;7,641628E-08
0,9;8,078406E-08
1;8,503177E-08
1,1;8,888404E-08
1,2;9,303231E-08
1,3;9,590111E-08
1,4;9,904677E-08
1,5;1,020033E-07
1,6;1,071942E-07
1,7;1,094808E-07
1,8;1,109127E-07
1,9;1,133461E-07
2;1,142431E-07
2,1;1,164235E-07
2,2;1,181158E-07
2,3;1,200072E-07
2,4;1,221234E-07
2,5;1,238739E-07
2,6;1,255723E-07
2,7;1,272052E-07
2,8;1,290915E-07
2,9;1,302631E-07
3;1,316662E-07
3,1;1,331702E-07
3,2;1,345676E-07
3,3;1,359977E-07
3,4;1,378249E-07
3,5;1,397086E-07
3,6;1,392688E-07
3,7;1,404421E-07
3,8;1,421901E-07
3,9;1,435963E-07
4;1,445851E-07
4,1;1,456218E-07
4,2;1,469667E-07
4,3;1,480728E-07
4,4;1,494263E-07
4,5;1,504734E-07
4,6;1,514672E-07
4,7;1,525606E-07
4,8;1,549028E-07
4,9;1,567223E-07
5;1,573419E-07
5,1;1,578299E-07
5,2;1,584203E-07
5,3;1,598283E-07
5,4;1,601033E-07
5,5;1,607947E-07
5,6;1,616879E-07
5,7;1,626029E-07
5,8;1,634921E-07
5,9;1,661151E-07
6;1,651396E-07
6,1;1,657492E-07
6,2;1,665712E-07
6,3;1,683198E-07
6,4;1,684278E-07
6,5;1,693997E-07
6,6;1,702757E-07
6,7;1,708618E-07
6,8;1,716515E-07
6,9;1,724673E-07
7;1,730728E-07
7,1;1,737194E-07
7,2;1,744271E-07
7,3;1,750759E-07
7,4;1,75833E-07
7,5;1,764328E-07
7,6;1,772018E-07
7,7;1,821377E-07
7,8;1,818529E-07
7,9;1,795256E-07
8;1,799932E-07
8,1;1,8059E-07
8,2;1,827401E-07
8,3;1,822494E-07
8,4;1,823584E-07
8,5;1,84061E-07
8,6;1,842804E-07
8,7;1,841409E-07
8,8;1,848925E-07
8,9;1,853096E-07
9;1,861516E-07
9,1;1,872989E-07
9,2;1,874923E-07
9,3;1,879116E-07
9,4;1,884395E-07
9,5;1,892618E-07
9,6;1,898696E-07
9,7;1,90308E-07
9,8;1,907214E-07
9,9;1,918759E-07
10;1,951396E-07
