Tensao [V];Corrente [A]
-10;-3,858955E-10
-9,9;-3,525096E-10
-9,8;-3,351287E-10
-9,7;-3,220871E-10
-9,6;-3,121121E-10
-9,5;-3,027134E-10
-9,4;-2,928287E-10
-9,3;-2,85568E-10
-9,2;-2,78337E-10
-9,1;-2,726267E-10
-9;-2,639863E-10
-8,9;-2,60125E-10
-8,8;-2,547033E-10
-8,7;-2,48281E-10
-8,6;-2,417236E-10
-8,5;-2,377495E-10
-8,4;-2,325222E-10
-8,3;-2,264453E-10
-8,2;-2,198013E-10
-8,1;-2,154447E-10
-8;-2,105605E-10
-7,9;-2,049529E-10
-7,8;-2,003983E-10
-7,7;-1,934086E-10
-7,6;-1,903621E-10
-7,5;-1,866767E-10
-7,4;-1,81489E-10
-7,3;-1,768735E-10
-7,2;-1,727521E-10
-7,1;-1,701502E-10
-7;-1,641339E-10
-6,9;-1,591421E-10
-6,8;-1,564077E-10
-6,7;-1,521501E-10
-6,6;-1,466094E-10
-6,5;-1,425439E-10
-6,4;-1,381685E-10
-6,3;-1,348323E-10
-6,2;-1,314143E-10
-6,1;-1,268496E-10
-6;-1,222352E-10
-5,9;-1,175344E-10
-5,8;-1,114254E-10
-5,7;-1,081188E-10
-5,6;-1,029336E-10
-5,5;-1,012543E-10
-5,4;-9,623261E-11
-5,3;-8,973969E-11
-5,2;-8,748949E-11
-5,1;-8,126413E-11
-5;-7,729249E-11
-4,9;-7,177788E-11
-4,8;-6,819151E-11
-4,7;-6,615806E-11
-4,6;-6,026078E-11
-4,5;-5,606012E-11
-4,4;-5,045761E-11
-4,3;-4,652441E-11
-4,2;-4,192996E-11
-4,1;-3,675592E-11
-4;-3,103328E-11
-3,9;-2,69317E-11
-3,8;-2,337625E-11
-3,7;-1,64276E-11
-3,6;-1,104055E-11
-3,5;-4,561239E-12
-3,4;-3,791604E-13
-3,3;5,73983E-12
-3,2;1,251891E-11
-3,1;1,936361E-11
-3;2,143422E-11
-2,9;3,015017E-11
-2,8;3,719799E-11
-2,7;4,405383E-11
-2,6;5,041805E-11
-2,5;5,990301E-11
-2,4;6,496569E-11
-2,3;7,434665E-11
-2,2;8,059073E-11
-2,1;8,937853E-11
-2;9,730807E-11
-1,9;1,055595E-10
-1,8;1,132265E-10
-1,7;1,256268E-10
-1,6;1,352147E-10
-1,5;1,463096E-10
-1,4;1,59589E-10
-1,3;1,746146E-10
-1,2;1,960973E-10
-1,1;2,269723E-10
-1;2,846065E-10
-0,9;4,09445E-10
-0,8;6,242888E-10
-0,7;1,000676E-09
-0,6;1,590411E-09
-0,5;2,80638E-09
-0,4;3,840183E-09
-0,3;5,59179E-09
-0,2;7,752528E-09
-0,1;1,022898E-08
0;1,328751E-08
0,1;1,52226E-08
0,2;1,772525E-08
0,3;2,006917E-08
0,4;2,359465E-08
0,5;2,589943E-08
0,6;2,802154E-08
0,7;3,027108E-08
0,8;3,222775E-08
0,9;3,412317E-08
1;3,594182E-08
1,1;3,770792E-08
1,2;3,928075E-08
1,3;4,072878E-08
1,4;4,206916E-08
1,5;4,354787E-08
1,6;4,458601E-08
1,7;4,575239E-08
1,8;4,675644E-08
1,9;4,770816E-08
2;4,869575E-08
2,1;5,04202E-08
2,2;5,099095E-08
2,3;5,168819E-08
2,4;5,232589E-08
2,5;5,348458E-08
2,6;5,366976E-08
2,7;5,419703E-08
2,8;5,477336E-08
2,9;5,564634E-08
3;5,624969E-08
3,1;5,697951E-08
3,2;5,746903E-08
3,3;5,799838E-08
3,4;5,859979E-08
3,5;5,91708E-08
3,6;5,965477E-08
3,7;6,086017E-08
3,8;6,099598E-08
3,9;6,145731E-08
4;6,23955E-08
4,1;6,243005E-08
4,2;6,308603E-08
4,3;6,334623E-08
4,4;6,445923E-08
4,5;6,548627E-08
4,6;6,548481E-08
4,7;6,568608E-08
4,8;6,605327E-08
4,9;6,62977E-08
5;6,669164E-08
5,1;6,749949E-08
5,2;6,779662E-08
5,3;6,809235E-08
5,4;6,882119E-08
5,5;6,888394E-08
5,6;6,93521E-08
5,7;6,988552E-08
5,8;7,018097E-08
5,9;7,067669E-08
6;7,095274E-08
6,1;7,12935E-08
6,2;7,205657E-08
6,3;7,332269E-08
6,4;7,3393E-08
6,5;7,369169E-08
6,6;7,409211E-08
6,7;7,375669E-08
6,8;7,407799E-08
6,9;7,426684E-08
7;7,449709E-08
7,1;7,496595E-08
7,2;7,529533E-08
7,3;7,588385E-08
7,4;7,606153E-08
7,5;7,645677E-08
7,6;7,731675E-08
7,7;7,709035E-08
7,8;7,726162E-08
7,9;7,754576E-08
8;7,776966E-08
8,1;7,81148E-08
8,2;7,85483E-08
8,3;7,856325E-08
8,4;7,880293E-08
8,5;7,908965E-08
8,6;7,931947E-08
8,7;7,975257E-08
8,8;8,159174E-08
8,9;8,125667E-08
9;8,114387E-08
9,1;8,109564E-08
9,2;8,11195E-08
9,3;8,156137E-08
9,4;8,16905E-08
9,5;8,176382E-08
9,6;8,198898E-08
9,7;8,211666E-08
9,8;8,323718E-08
9,9;8,278261E-08
10;8,352312E-08
