Tensao [V];Corrente [A]
1,85;1,478331E-10
1,9;1,503608E-10
1,95;1,511582E-10
2;1,537205E-10
2,05;1,551966E-10
2,1;1,576339E-10
2,15;1,591967E-10
2,2;1,669442E-10
2,25;1,696006E-10
2,3;1,714249E-10
2,35;1,707375E-10
2,4;1,722657E-10
2,45;1,74257E-10
2,5;1,756777E-10
2,55;1,754547E-10
2,6;1,752875E-10
2,65;1,786758E-10
2,7;1,842945E-10
2,75;1,878574E-10
2,8;1,891305E-10
2,85;1,919119E-10
2,9;1,951789E-10
2,95;1,966849E-10
3;1,964817E-10
3,05;1,970537E-10
3,1;2,005251E-10
3,15;2,013264E-10
3,2;2,019133E-10
3,25;2,046367E-10
3,3;2,078033E-10
3,35;2,081536E-10
3,4;2,11453E-10
3,45;2,127062E-10
3,5;2,126678E-10
3,55;2,119199E-10
3,6;2,132461E-10
3,65;2,155928E-10
3,7;2,191731E-10
3,75;2,235619E-10
3,8;2,266569E-10
3,85;2,281358E-10
3,9;2,310905E-10
3,95;2,343611E-10
4;2,341443E-10
4,05;2,356466E-10
4,1;2,36682E-10
4,15;2,393779E-10
4,2;2,430177E-10
4,25;2,455068E-10
4,3;2,457669E-10
4,35;2,474423E-10
4,4;2,479169E-10
4,45;2,499366E-10
4,5;2,514746E-10
4,55;2,536903E-10
4,6;2,553945E-10
4,65;2,558886E-10
4,7;2,568383E-10
4,75;2,590017E-10
4,8;2,602329E-10
4,85;2,606417E-10
4,9;2,622019E-10
4,95;2,6414E-10
5;2,667097E-10
5,05;2,672485E-10
5,1;2,683408E-10
5,15;2,697982E-10
5,2;2,726814E-10
5,25;2,739173E-10
5,3;2,750072E-10
5,35;2,777403E-10
5,4;2,781143E-10
5,45;2,792958E-10
5,5;2,840068E-10
5,55;2,848896E-10
5,6;2,849998E-10
5,65;2,860911E-10
5,7;2,870915E-10
5,75;2,907931E-10
5,8;2,9276E-10
5,85;2,932936E-10
5,9;2,966806E-10
5,95;2,961035E-10
6;2,975795E-10
6,05;2,963463E-10
6,1;2,918619E-10
6,15;3,022893E-10
6,2;3,033137E-10
6,25;3,049147E-10
6,3;3,055353E-10
6,35;3,073224E-10
6,4;3,09726E-10
6,45;3,106737E-10
6,5;3,127688E-10
6,55;3,132802E-10
6,6;3,145584E-10
6,65;3,141125E-10
6,7;3,200394E-10
6,75;3,232707E-10
6,8;3,257377E-10
6,85;3,270702E-10
6,9;3,290021E-10
6,95;3,300906E-10
7;3,307592E-10
7,05;3,325364E-10
7,1;3,337836E-10
7,15;3,342503E-10
7,2;3,369229E-10
7,25;3,382827E-10
7,3;3,389913E-10
7,35;3,406021E-10
7,4;3,416676E-10
7,45;3,455163E-10
7,5;3,462173E-10
7,55;3,463027E-10
7,6;3,471944E-10
7,65;3,496624E-10
7,7;3,503225E-10
7,75;3,522184E-10
7,8;3,530508E-10
7,85;3,554261E-10
7,9;3,57343E-10
7,95;3,576776E-10
8;3,584144E-10
8,05;3,597804E-10
8,1;3,615264E-10
8,15;3,632379E-10
8,2;3,65176E-10
8,25;3,687033E-10
8,3;3,690077E-10
8,35;3,684827E-10
8,4;3,699081E-10
8,45;3,721423E-10
8,5;3,738105E-10
8,55;3,738602E-10
8,6;3,746228E-10
8,65;3,785535E-10
8,7;3,805188E-10
8,75;3,820283E-10
8,8;3,837561E-10
8,85;3,862541E-10
8,9;3,881177E-10
8,95;3,898181E-10
9;3,902369E-10
9,05;3,915729E-10
9,1;3,941884E-10
9,15;3,977983E-10
9,2;3,976411E-10
9,25;3,983409E-10
9,3;4,002346E-10
9,35;4,007212E-10
9,4;4,019396E-10
9,45;4,040313E-10
9,5;4,047276E-10
9,55;4,059658E-10
9,6;4,073751E-10
9,65;4,090545E-10
9,7;4,109975E-10
9,75;4,137625E-10
9,8;4,155797E-10
9,85;4,147734E-10
9,9;4,155511E-10
9,95;4,171757E-10
10;4,187808E-10
