Tensao [V];Corrente [A]
1,85;2,589615E-07
1,9;2,619322E-07
1,95;2,655453E-07
2;2,681485E-07
2,05;2,709885E-07
2,1;2,737784E-07
2,15;2,767691E-07
2,2;2,790541E-07
2,25;2,818697E-07
2,3;2,843917E-07
2,35;2,868189E-07
2,4;2,89088E-07
2,45;2,91387E-07
2,5;2,941529E-07
2,55;3,023877E-07
2,6;3,021953E-07
2,65;3,019867E-07
2,7;3,035779E-07
2,75;3,053306E-07
2,8;3,076098E-07
2,85;3,096648E-07
2,9;3,120438E-07
2,95;3,142343E-07
3;3,158838E-07
3,05;3,175261E-07
3,1;3,195151E-07
3,15;3,212403E-07
3,2;3,230219E-07
3,25;3,250209E-07
3,3;3,279162E-07
3,35;3,285286E-07
3,4;3,305361E-07
3,45;3,322286E-07
3,5;3,341622E-07
3,55;3,358145E-07
3,6;3,376193E-07
3,65;3,397425E-07
3,7;3,473739E-07
3,75;3,475474E-07
3,8;3,445117E-07
3,85;3,455626E-07
3,9;3,470788E-07
3,95;3,488968E-07
4;3,509175E-07
4,05;3,523235E-07
4,1;3,538313E-07
4,15;3,5529E-07
4,2;3,576312E-07
4,25;3,583543E-07
4,3;3,600841E-07
4,35;3,608136E-07
4,4;3,626589E-07
4,45;3,634007E-07
4,5;3,654507E-07
4,55;3,673564E-07
4,6;3,683099E-07
4,65;3,6885E-07
4,7;3,711769E-07
4,75;3,718665E-07
4,8;3,743507E-07
4,85;3,811018E-07
4,9;3,79786E-07
4,95;3,782017E-07
5;3,787453E-07
5,05;3,790692E-07
5,1;3,806993E-07
5,15;3,814739E-07
5,2;3,825047E-07
5,25;3,83478E-07
5,3;3,851877E-07
5,35;3,863926E-07
5,4;3,868022E-07
5,45;3,888056E-07
5,5;3,894316E-07
5,55;3,907956E-07
5,6;3,913972E-07
5,65;3,919936E-07
5,7;3,937484E-07
5,75;3,946768E-07
5,8;3,954712E-07
5,85;3,967093E-07
5,9;3,980832E-07
5,95;3,983806E-07
6;4,107077E-07
6,05;4,064949E-07
6,1;4,066424E-07
6,15;4,029199E-07
6,2;4,036888E-07
6,25;4,040501E-07
6,3;4,051232E-07
6,35;4,061685E-07
6,4;4,070378E-07
6,45;4,081162E-07
6,5;4,087244E-07
6,55;4,100299E-07
6,6;4,111649E-07
6,65;4,120865E-07
6,7;4,120159E-07
6,75;4,130971E-07
6,8;4,148567E-07
6,85;4,155424E-07
