Tensao [V];Corrente [A]
-10;-5,173597E-10
-9,95;-4,838864E-10
-9,9;-4,624774E-10
-9,85;-4,477041E-10
-9,8;-4,3601E-10
-9,75;-4,283689E-10
-9,7;-4,218391E-10
-9,65;-4,17906E-10
-9,6;-4,112483E-10
-9,55;-4,069299E-10
-9,5;-4,025237E-10
-9,45;-3,994585E-10
-9,4;-3,960715E-10
-9,35;-3,922496E-10
-9,3;-3,890536E-10
-9,25;-3,864023E-10
-9,2;-3,818584E-10
-9,15;-3,78901E-10
-9,1;-3,745036E-10
-9,05;-3,721283E-10
-9;-3,692304E-10
-8,95;-3,657073E-10
-8,9;-3,631672E-10
-8,85;-3,589508E-10
-8,8;-3,566394E-10
-8,75;-3,543484E-10
-8,7;-3,506369E-10
-8,65;-3,49135E-10
-8,6;-3,472497E-10
-8,55;-3,438579E-10
-8,5;-3,422692E-10
-8,45;-3,388424E-10
-8,4;-3,363731E-10
-8,35;-3,328735E-10
-8,3;-3,311223E-10
-8,25;-3,302617E-10
-8,2;-3,269836E-10
-8,15;-3,237451E-10
-8,1;-3,218255E-10
-8,05;-3,209277E-10
-8;-3,171778E-10
-7,95;-3,143022E-10
-7,9;-3,117797E-10
-7,85;-3,104803E-10
-7,8;-3,063481E-10
-7,75;-3,032198E-10
-7,7;-3,011591E-10
-7,65;-3,004373E-10
-7,6;-2,975071E-10
-7,55;-2,940507E-10
-7,5;-2,929435E-10
-7,45;-2,908568E-10
-7,4;-2,887253E-10
-7,35;-2,855551E-10
-7,3;-2,83731E-10
-7,25;-2,815204E-10
-7,2;-2,792467E-10
-7,15;-2,763562E-10
-7,1;-2,735958E-10
-7,05;-2,734784E-10
-7;-2,707821E-10
-6,95;-2,683935E-10
-6,9;-2,665654E-10
-6,85;-2,646025E-10
-6,8;-2,627932E-10
-6,75;-2,597009E-10
-6,7;-2,57722E-10
-6,65;-2,563486E-10
-6,6;-2,539264E-10
-6,55;-2,505616E-10
-6,5;-2,480129E-10
-6,45;-2,455287E-10
-6,4;-2,431981E-10
-6,35;-2,41613E-10
-6,3;-2,387175E-10
-6,25;-2,352933E-10
-6,2;-2,338284E-10
-6,15;-2,321849E-10
-6,1;-2,243756E-10
-6,05;-2,274009E-10
-6;-2,2603E-10
-5,95;-2,236993E-10
-5,9;-2,19474E-10
-5,85;-2,196052E-10
-5,8;-2,187309E-10
-5,75;-2,142118E-10
-5,7;-2,12103E-10
-5,65;-2,104571E-10
-5,6;-2,081586E-10
-5,55;-2,070342E-10
-5,5;-2,039828E-10
-5,45;-2,018315E-10
-5,4;-1,999432E-10
-5,35;-1,966487E-10
-5,3;-1,971702E-10
-5,25;-1,955753E-10
-5,2;-1,919714E-10
-5,15;-1,891764E-10
-5,1;-1,875281E-10
-5,05;-1,854228E-10
-5;-1,833026E-10
-4,95;-1,802154E-10
-4,9;-1,78593E-10
-4,85;-1,764951E-10
-4,8;-1,742945E-10
-4,75;-1,72936E-10
-4,7;-1,705607E-10
-4,65;-1,671476E-10
-4,6;-1,66552E-10
-4,55;-1,645174E-10
-4,5;-1,621172E-10
-4,45;-1,581867E-10
-4,4;-1,563005E-10
-4,35;-1,539946E-10
-4,3;-1,517505E-10
-4,25;-1,484466E-10
-4,2;-1,476812E-10
-4,15;-1,450409E-10
-4,1;-1,424527E-10
-4,05;-1,39078E-10
-4;-1,373294E-10
-3,95;-1,345455E-10
-3,9;-1,327918E-10
-3,85;-1,307807E-10
-3,8;-1,28611E-10
-3,75;-1,279905E-10
-3,7;-1,250481E-10
-3,65;-1,225329E-10
-3,6;-1,195409E-10
-3,55;-1,184152E-10
-3,5;-1,155854E-10
-3,45;-1,127719E-10
-3,4;-1,085328E-10
-3,35;-1,067804E-10
-3,3;-1,030342E-10
-3,25;-1,01075E-10
-3,2;-9,856231E-11
-3,15;-9,703294E-11
-3,1;-9,442853E-11
-3,05;-9,064399E-11
-3;-8,684952E-11
-2,95;-8,600864E-11
-2,9;-8,172996E-11
-2,85;-7,907604E-11
-2,8;-7,589083E-11
-2,75;-7,239365E-11
-2,7;-6,983757E-11
-2,65;-6,730625E-11
-2,6;-6,380401E-11
-2,55;-6,157366E-11
-2,5;-5,685533E-11
-2,45;-5,270791E-11
-2,4;-4,920946E-11
-2,35;-4,718221E-11
-2,3;-4,307684E-11
-2,25;-3,838828E-11
-2,2;-3,497647E-11
-2,15;-3,091696E-11
-2,1;-2,720175E-11
-2,05;-2,219861E-11
-2;-1,536261E-11
-1,95;-1,302946E-11
-1,9;-7,939621E-12
-1,85;-6,689486E-13
-1,8;6,685997E-12
-1,75;1,294743E-11
-1,7;2,219716E-11
-1,65;3,217756E-11
-1,6;4,436605E-11
-1,55;5,507463E-11
-1,5;6,890897E-11
-1,45;8,724746E-11
-1,4;1,082757E-10
-1,35;1,296942E-10
-1,3;1,558991E-10
-1,25;1,892906E-10
-1,2;2,330203E-10
-1,15;2,851019E-10
-1,1;3,666752E-10
-1,05;4,851607E-10
-1;6,698693E-10
-0,95;9,236752E-10
-0,9;1,278065E-09
-0,85;1,771846E-09
-0,8;2,686502E-09
-0,75;3,334114E-09
-0,7;4,469392E-09
-0,65;5,881387E-09
-0,6;7,79237E-09
-0,55;1,013436E-08
-0,5;1,327905E-08
-0,45;1,69109E-08
-0,4;2,36687E-08
-0,35;2,989816E-08
-0,3;3,5755E-08
-0,25;4,200711E-08
-0,2;4,845737E-08
-0,15;5,488813E-08
-0,1;6,142037E-08
-0,05;6,812405E-08
0;7,465736E-08
0,05;8,135018E-08
0,1;8,792189E-08
0,15;9,435219E-08
0,2;1,005963E-07
0,25;1,066492E-07
0,3;1,125962E-07
0,35;1,189441E-07
0,4;1,244231E-07
0,45;1,301024E-07
0,5;1,357392E-07
0,55;1,409251E-07
0,6;1,463211E-07
0,65;1,516654E-07
0,7;1,569489E-07
0,75;1,621224E-07
0,8;1,692329E-07
0,85;1,746812E-07
0,9;1,787519E-07
0,95;1,826757E-07
1;1,868168E-07
1,05;1,921851E-07
1,1;1,954276E-07
1,15;1,98999E-07
1,2;2,031829E-07
1,25;2,070245E-07
1,3;2,105989E-07
1,35;2,147773E-07
1,4;2,17789E-07
1,45;2,212142E-07
1,5;2,246877E-07
1,55;2,280123E-07
1,6;2,3105E-07
1,65;2,336939E-07
1,7;2,369307E-07
1,75;2,396122E-07
1,8;2,423165E-07
1,85;2,451131E-07
1,9;2,475765E-07
1,95;2,557557E-07
2;2,559374E-07
2,05;2,550639E-07
2,1;2,570937E-07
2,15;2,591637E-07
2,2;2,62907E-07
2,25;2,657754E-07
2,3;2,669048E-07
2,35;2,697852E-07
2,4;2,716723E-07
2,45;2,729745E-07
2,5;2,750439E-07
2,55;2,765782E-07
2,6;2,781689E-07
2,65;2,798877E-07
2,7;2,815282E-07
2,75;2,832915E-07
2,8;2,850361E-07
2,85;2,867972E-07
2,9;2,954544E-07
2,95;2,952702E-07
3;2,945378E-07
3,05;2,95622E-07
3,1;2,953593E-07
3,15;2,960331E-07
3,2;2,97693E-07
3,25;2,98969E-07
3,3;3,001911E-07
3,35;3,015311E-07
3,4;3,031563E-07
3,45;3,046194E-07
3,5;3,057398E-07
3,55;3,072627E-07
3,6;3,083382E-07
3,65;3,097951E-07
3,7;3,112311E-07
3,75;3,125596E-07
3,8;3,151166E-07
3,85;3,159761E-07
3,9;3,174686E-07
3,95;3,19217E-07
4;3,258336E-07
4,05;3,215071E-07
4,1;3,225843E-07
4,15;3,241355E-07
4,2;3,270087E-07
4,25;3,294575E-07
4,3;3,280961E-07
4,35;3,306046E-07
4,4;3,305329E-07
4,45;3,316836E-07
4,5;3,324106E-07
4,55;3,372591E-07
4,6;3,361534E-07
4,65;3,365847E-07
4,7;3,376778E-07
4,75;3,38454E-07
4,8;3,39173E-07
4,85;3,47762E-07
4,9;3,473986E-07
4,95;3,451111E-07
5;3,465726E-07
5,05;3,455609E-07
5,1;3,461134E-07
5,15;3,463185E-07
5,2;3,472192E-07
5,25;3,480417E-07
5,3;3,491262E-07
5,35;3,501824E-07
5,4;3,511119E-07
5,45;3,523791E-07
5,5;3,535789E-07
5,55;3,54079E-07
5,6;3,556061E-07
5,65;3,559525E-07
5,7;3,571639E-07
5,75;3,577438E-07
5,8;3,584923E-07
5,85;3,591465E-07
5,9;3,65614E-07
5,95;3,615417E-07
6;3,618401E-07
6,05;3,624815E-07
6,1;3,642136E-07
6,15;3,674412E-07
6,2;3,652107E-07
6,25;3,678855E-07
6,3;3,740455E-07
6,35;3,723512E-07
6,4;3,710062E-07
6,45;3,706002E-07
6,5;3,740683E-07
6,55;3,718966E-07
6,6;3,719007E-07
6,65;3,726836E-07
6,7;3,73161E-07
6,75;3,739089E-07
6,8;3,739429E-07
6,85;3,751046E-07
6,9;3,757097E-07
6,95;3,765032E-07
7;3,777507E-07
7,05;3,79075E-07
7,1;3,792686E-07
7,15;3,803182E-07
