Tensao [V];Corrente [A]
1,95;1,217418E-08
2;1,233161E-08
2,05;1,24933E-08
2,1;1,263047E-08
2,15;1,276311E-08
2,2;1,292029E-08
2,25;1,306456E-08
2,3;1,319877E-08
2,35;1,329999E-08
2,4;1,343014E-08
2,45;1,356361E-08
2,5;1,394752E-08
2,55;1,402269E-08
2,6;1,400673E-08
2,65;1,404372E-08
2,7;1,413636E-08
2,75;1,423315E-08
2,8;1,434662E-08
2,85;1,4472E-08
2,9;1,456399E-08
2,95;1,465222E-08
3;1,477891E-08
3,05;1,486734E-08
3,1;1,497401E-08
3,15;1,505754E-08
3,2;1,516023E-08
3,25;1,525967E-08
3,3;1,53541E-08
3,35;1,545346E-08
3,4;1,5521E-08
3,45;1,561421E-08
3,5;1,569882E-08
3,55;1,57757E-08
3,6;1,586961E-08
3,65;1,625091E-08
3,7;1,628201E-08
3,75;1,619765E-08
3,8;1,61996E-08
3,85;1,626249E-08
3,9;1,634625E-08
3,95;1,642509E-08
4;1,652298E-08
4,05;1,659159E-08
4,1;1,668026E-08
4,15;1,67627E-08
4,2;1,684397E-08
4,25;1,691293E-08
4,3;1,700534E-08
4,35;1,707731E-08
4,4;1,714426E-08
4,45;1,723278E-08
4,5;1,730332E-08
4,55;1,739416E-08
4,6;1,745489E-08
4,65;1,752067E-08
4,7;1,760846E-08
4,75;1,766326E-08
4,8;1,791755E-08
4,85;1,812401E-08
4,9;1,811773E-08
4,95;1,800238E-08
5;1,800776E-08
5,05;1,805605E-08
5,1;1,811973E-08
5,15;1,819152E-08
5,2;1,827082E-08
5,25;1,834453E-08
5,3;1,840794E-08
5,35;1,850061E-08
5,4;1,855364E-08
5,45;1,862027E-08
5,5;1,867608E-08
5,55;1,872836E-08
5,6;1,881769E-08
5,65;1,886625E-08
5,7;1,892847E-08
5,75;1,898314E-08
5,8;1,90244E-08
5,85;1,908445E-08
5,9;1,912621E-08
5,95;1,920174E-08
6;1,925054E-08
6,05;1,963899E-08
6,1;1,967282E-08
6,15;1,961029E-08
6,2;1,95061E-08
6,25;1,952825E-08
6,3;1,956091E-08
6,35;1,961321E-08
6,4;1,965605E-08
6,45;1,972893E-08
6,5;1,978252E-08
6,55;1,982807E-08
6,6;1,989909E-08
6,65;1,993531E-08
6,7;2,00129E-08
6,75;2,007213E-08
6,8;2,010342E-08
6,85;2,018088E-08
6,9;2,022298E-08
6,95;2,02795E-08
7;2,033828E-08
7,05;2,037443E-08
7,1;2,043338E-08
7,15;2,046464E-08
7,2;2,052004E-08
7,25;2,058651E-08
7,3;2,06926E-08
7,35;2,069022E-08
7,4;2,071149E-08
7,45;2,07389E-08
7,5;2,078219E-08
7,55;2,084999E-08
7,6;2,091919E-08
7,65;2,09388E-08
