Tensao [V];Corrente [A]
-10;-4,960307E-10
-9,9;-4,460265E-10
-9,8;-4,247087E-10
-9,7;-4,053624E-10
-9,6;-3,92317E-10
-9,5;-3,803576E-10
-9,4;-3,718162E-10
-9,3;-3,656331E-10
-9,2;-4,994262E-10
-9,1;-4,64849E-10
-9;-4,446107E-10
-8,9;-5,331393E-10
-8,8;-5,06686E-10
-8,7;-4,910194E-10
-8,6;-4,794607E-10
-8,5;-4,634556E-10
-8,4;-4,519435E-10
-8,3;-4,404918E-10
-8,2;-4,340576E-10
-8,1;-4,102638E-10
-8;-4,024074E-10
-7,9;-3,96354E-10
-7,8;-3,939961E-10
-7,7;-3,921648E-10
-7,6;-3,868728E-10
-7,5;-3,79892E-10
-7,4;-3,751216E-10
-7,3;-3,740085E-10
-7,2;-3,683056E-10
-7,1;-3,644778E-10
-7;-3,589063E-10
-6,9;-3,556456E-10
-6,8;-3,530461E-10
-6,7;-3,473619E-10
-6,6;-3,428045E-10
-6,5;-3,451338E-10
-6,4;-3,379066E-10
-6,3;-3,383226E-10
-6,2;-3,286881E-10
-6,1;-3,226705E-10
-6;-3,185492E-10
-5,9;-3,116734E-10
-5,8;-3,066197E-10
-5,7;-3,039189E-10
-5,6;-3,018542E-10
-5,5;-2,997797E-10
-5,4;-2,952956E-10
-5,3;-2,916658E-10
-5,2;-2,807087E-10
-5,1;-2,555617E-10
-5;-2,450475E-10
-4,9;-2,415319E-10
-4,8;-2,392246E-10
-4,7;-2,341744E-10
-4,6;-2,288479E-10
-4,5;-2,24058E-10
-4,4;-2,198375E-10
-4,3;-2,178362E-10
-4,2;-2,112814E-10
-4,1;-2,073556E-10
-4;-2,030621E-10
-3,9;-1,980577E-10
-3,8;-1,910111E-10
-3,7;-1,864526E-10
-3,6;1,315898E-10
-3,5;-1,644246E-11
-3,4;-5,377284E-11
-3,3;-6,407259E-11
-3,2;-6,789681E-11
-3,1;-6,289618E-11
-3;-5,545707E-11
-2,9;-5,030653E-11
-2,8;-4,30396E-11
-2,7;-3,911759E-11
-2,6;-3,36748E-11
-2,5;-2,426791E-11
-2,4;-1,78369E-11
-2,3;-1,128204E-11
-2,2;-2,52531E-12
-2,1;7,907062E-12
-2;1,499822E-11
-1,9;2,474699E-11
-1,8;3,895283E-11
-1,7;5,586463E-11
-1,6;7,481852E-11
-1,5;9,966235E-11
-1,4;1,366005E-10
-1,3;1,84942E-10
-1,2;2,582796E-10
-1,1;3,941608E-10
-1;6,813548E-10
-0,9;1,263655E-09
-0,8;2,86591E-09
-0,7;4,293482E-09
-0,6;7,5012E-09
-0,5;1,266223E-08
-0,4;2,497364E-08
-0,3;3,727804E-08
-0,2;5,09106E-08
-0,1;6,468258E-08
0;7,922571E-08
0,1;9,337028E-08
0,2;1,073309E-07
0,3;1,196663E-07
0,4;1,317567E-07
0,5;1,436672E-07
0,6;1,557466E-07
0,7;1,660174E-07
0,8;1,805257E-07
0,9;1,896119E-07
1;1,973651E-07
1,1;2,056286E-07
1,2;2,145264E-07
1,3;2,228895E-07
1,4;2,306155E-07
1,5;2,381717E-07
1,6;2,444624E-07
1,7;2,515684E-07
1,8;2,567511E-07
1,9;2,631157E-07
2;2,678687E-07
2,1;2,707587E-07
2,2;2,757714E-07
2,3;2,801435E-07
2,4;2,840911E-07
2,5;2,954824E-07
2,6;2,959815E-07
2,7;2,985188E-07
2,8;3,012058E-07
2,9;3,039066E-07
3;3,074131E-07
3,1;3,100659E-07
3,2;3,124458E-07
3,3;3,154842E-07
3,4;3,185704E-07
3,5;3,21166E-07
3,6;3,237956E-07
3,7;3,276758E-07
3,8;3,296183E-07
3,9;3,319355E-07
4;3,352623E-07
4,1;3,378773E-07
4,2;3,414688E-07
4,3;3,42928E-07
4,4;3,469574E-07
4,5;3,480647E-07
4,6;3,541588E-07
4,7;3,59959E-07
4,8;3,606266E-07
4,9;3,608028E-07
5;3,615494E-07
5,1;3,684834E-07
5,2;3,658812E-07
5,3;3,674379E-07
5,4;3,687682E-07
5,5;3,712285E-07
5,6;3,729343E-07
5,7;3,744337E-07
5,8;3,768557E-07
5,9;3,78761E-07
6;3,800623E-07
6,1;3,825023E-07
6,2;3,849973E-07
6,3;3,862796E-07
6,4;3,87509E-07
6,5;3,89613E-07
6,6;3,913274E-07
6,7;3,930772E-07
6,8;3,949032E-07
6,9;3,97345E-07
7;3,986906E-07
7,1;4,001975E-07
7,2;4,016993E-07
7,3;4,037292E-07
7,4;4,04895E-07
7,5;4,069076E-07
7,6;4,155166E-07
7,7;4,121555E-07
7,8;4,116774E-07
7,9;4,126392E-07
8;4,14118E-07
8,1;4,151708E-07
8,2;4,174159E-07
8,3;4,188379E-07
8,4;4,202445E-07
8,5;4,213921E-07
8,6;4,229021E-07
8,7;4,252772E-07
8,8;4,293627E-07
8,9;4,277667E-07
9;4,294882E-07
9,1;4,303727E-07
9,2;4,433677E-07
9,3;4,389764E-07
9,4;4,357786E-07
9,5;4,362825E-07
9,6;4,372446E-07
9,7;4,382334E-07
9,8;4,398321E-07
9,9;4,412499E-07
10;4,426431E-07
