Tensao [V];Corrente [A]
1,9;2,305663E-07
1,95;2,318917E-07
2;2,34363E-07
2,05;2,363722E-07
2,1;2,381545E-07
2,15;2,395449E-07
2,2;2,417711E-07
2,25;2,492308E-07
2,3;2,478234E-07
2,35;2,486935E-07
2,4;2,484369E-07
2,45;2,496789E-07
2,5;2,513843E-07
2,55;2,531337E-07
2,6;2,541618E-07
2,65;2,561268E-07
2,7;2,575076E-07
2,75;2,589444E-07
2,8;2,602297E-07
2,85;2,620047E-07
2,9;2,634238E-07
2,95;2,644027E-07
3;2,659104E-07
3,05;2,671504E-07
3,1;2,686762E-07
3,15;2,695363E-07
3,2;2,711591E-07
3,25;2,769842E-07
3,3;2,779224E-07
3,35;2,746787E-07
3,4;2,75382E-07
3,45;2,765783E-07
3,5;2,771483E-07
3,55;2,782021E-07
3,6;2,799951E-07
3,65;2,808203E-07
3,7;2,813319E-07
3,75;2,828084E-07
3,8;2,844583E-07
3,85;2,857293E-07
3,9;2,910008E-07
3,95;2,878283E-07
4;2,895287E-07
4,05;2,892503E-07
4,1;2,904663E-07
4,15;2,910699E-07
4,2;2,917972E-07
4,25;2,930176E-07
4,3;2,9441E-07
4,35;2,953502E-07
4,4;2,964143E-07
4,45;2,971744E-07
4,5;3,05079E-07
4,55;3,041333E-07
4,6;2,99485E-07
4,65;3,002174E-07
4,7;3,009429E-07
4,75;3,024871E-07
4,8;3,034025E-07
4,85;3,043625E-07
4,9;3,051677E-07
4,95;3,061974E-07
5;3,074422E-07
5,05;3,079475E-07
5,1;3,091597E-07
5,15;3,095583E-07
5,2;3,106058E-07
5,25;3,115448E-07
5,3;3,134311E-07
5,35;3,139745E-07
5,4;3,143938E-07
5,45;3,201414E-07
5,5;3,21042E-07
5,55;3,172963E-07
5,6;3,175214E-07
5,65;3,183745E-07
5,7;3,191552E-07
5,75;3,196436E-07
5,8;3,204863E-07
5,85;3,215027E-07
5,9;3,218527E-07
5,95;3,231331E-07
6;3,235857E-07
6,05;3,236203E-07
6,1;3,245631E-07
6,15;3,251944E-07
6,2;3,263416E-07
6,25;3,366798E-07
6,3;3,315264E-07
6,35;3,292748E-07
6,4;3,283482E-07
6,45;3,289451E-07
6,5;3,297731E-07
6,55;3,302713E-07
6,6;3,310317E-07
6,65;3,318542E-07
6,7;3,320171E-07
6,75;3,331304E-07
6,8;3,339721E-07
6,85;3,342714E-07
6,9;3,425926E-07
6,95;3,393353E-07
7;3,375019E-07
7,05;3,367555E-07
7,1;3,376789E-07
7,15;3,384206E-07
7,2;3,389247E-07
7,25;3,396619E-07
7,3;3,401667E-07
7,35;3,404551E-07
7,4;3,408867E-07
7,45;3,42083E-07
7,5;3,428489E-07
7,55;3,433601E-07
7,6;3,441982E-07
7,65;3,441824E-07
7,7;3,451959E-07
7,75;3,454493E-07
7,8;3,46444E-07
7,85;3,537619E-07
7,9;3,510233E-07
7,95;3,489889E-07
8;3,482313E-07
8,05;3,486905E-07
8,1;3,492655E-07
8,15;3,496835E-07
8,2;3,506368E-07
8,25;3,511638E-07
8,3;3,511338E-07
8,35;3,514779E-07
8,4;3,522738E-07
8,45;3,533056E-07
8,5;3,539331E-07
8,55;3,539147E-07
8,6;3,544075E-07
8,65;3,541309E-07
8,7;3,550924E-07
8,75;3,555161E-07
8,8;3,565935E-07
8,85;3,632633E-07
8,9;3,606626E-07
8,95;3,582032E-07
9;3,581468E-07
9,05;3,585368E-07
9,1;3,588445E-07
9,15;3,595691E-07
9,2;3,595974E-07
9,25;3,599213E-07
9,3;3,600288E-07
9,35;3,606861E-07
9,4;3,621163E-07
