Tensao [V];Corrente [A]
1,8;6,87712E-07
1,85;6,964335E-07
1,9;7,15916E-07
1,95;7,21693E-07
2;7,205871E-07
2,05;7,252013E-07
2,1;7,316891E-07
2,15;7,382596E-07
2,2;7,447886E-07
2,25;7,510313E-07
2,3;7,575749E-07
2,35;7,636398E-07
2,4;7,705275E-07
2,45;7,772057E-07
2,5;7,824787E-07
2,55;7,887284E-07
2,6;7,936934E-07
2,65;7,984935E-07
2,7;8,036463E-07
2,75;8,095267E-07
2,8;8,142554E-07
2,85;8,198343E-07
2,9;8,23381E-07
2,95;8,276275E-07
3;8,325917E-07
3,05;8,388552E-07
3,1;8,55131E-07
3,15;8,583866E-07
3,2;8,527687E-07
3,25;8,568664E-07
3,3;8,594112E-07
3,35;8,628372E-07
3,4;8,665093E-07
3,45;8,703804E-07
3,5;8,728742E-07
3,55;8,783985E-07
3,6;8,813558E-07
3,65;8,845802E-07
3,7;8,868252E-07
3,75;8,910652E-07
3,8;8,942799E-07
3,85;8,986303E-07
3,9;9,001385E-07
3,95;9,050516E-07
4;9,070133E-07
4,05;9,101879E-07
4,1;9,138863E-07
4,15;9,152836E-07
4,2;9,205765E-07
4,25;9,414723E-07
4,3;9,380632E-07
4,35;9,339442E-07
4,4;9,322188E-07
4,45;9,345327E-07
4,5;9,371424E-07
4,55;9,405008E-07
4,6;9,432259E-07
4,65;9,467166E-07
4,7;9,498814E-07
4,75;9,510263E-07
4,8;9,69973E-07
4,85;9,726434E-07
4,9;9,61874E-07
4,95;9,618578E-07
5;9,649468E-07
5,05;9,676787E-07
5,1;9,710092E-07
5,15;9,726172E-07
5,2;9,748899E-07
5,25;9,771201E-07
5,3;9,79296E-07
5,35;9,821525E-07
5,4;9,843294E-07
5,45;9,866411E-07
5,5;9,887995E-07
5,55;9,903492E-07
5,6;9,942815E-07
5,65;9,967023E-07
5,7;1,000334E-06
5,75;1,001957E-06
5,8;1,004293E-06
5,85;1,007528E-06
5,9;1,00793E-06
5,95;1,013101E-06
6;1,030631E-06
6,05;1,025308E-06
6,1;1,021069E-06
6,15;1,021558E-06
6,2;1,021184E-06
6,25;1,023388E-06
6,3;1,024731E-06
6,35;1,026942E-06
6,4;1,027682E-06
6,45;1,030102E-06
6,5;1,034374E-06
6,55;1,035265E-06
6,6;1,039636E-06
6,65;1,039978E-06
6,7;1,041183E-06
6,75;1,044454E-06
6,8;1,046123E-06
6,85;1,048991E-06
6,9;1,050609E-06
6,95;1,053032E-06
7;1,05403E-06
7,05;1,054837E-06
7,1;1,057277E-06
7,15;1,059288E-06
7,2;1,063764E-06
7,25;1,06353E-06
7,3;1,065122E-06
7,35;1,086475E-06
7,4;1,081597E-06
7,45;1,078796E-06
7,5;1,075747E-06
7,55;1,075863E-06
7,6;1,077539E-06
7,65;1,079721E-06
7,7;1,081721E-06
7,75;1,083515E-06
7,8;1,086348E-06
7,85;1,089074E-06
7,9;1,090965E-06
7,95;1,092063E-06
8;1,094953E-06
8,05;1,09621E-06
8,1;1,099183E-06
8,15;1,100467E-06
8,2;1,102799E-06
8,25;1,104244E-06
8,3;1,106799E-06
8,35;1,107461E-06
8,4;1,11008E-06
8,45;1,110766E-06
8,5;1,112732E-06
8,55;1,131802E-06
8,6;1,129531E-06
8,65;1,120928E-06
8,7;1,120824E-06
8,75;1,121198E-06
8,8;1,1234E-06
8,85;1,125014E-06
8,9;1,128575E-06
8,95;1,130142E-06
9;1,131021E-06
9,05;1,133686E-06
9,1;1,133474E-06
9,15;1,137154E-06
9,2;1,139133E-06
9,25;1,143073E-06
9,3;1,142296E-06
9,35;1,143511E-06
9,4;1,144682E-06
9,45;1,14523E-06
9,5;1,148502E-06
9,55;1,14929E-06
9,6;1,152694E-06
9,65;1,15233E-06
9,7;1,15287E-06
9,75;1,155868E-06
9,8;1,183147E-06
9,85;1,176197E-06
9,9;1,176931E-06
9,95;1,16402E-06
10;1,165354E-06
