Tensao [V];Corrente [A]
1,85;3,01297E-07
1,9;3,041826E-07
1,95;3,076647E-07
2;3,115787E-07
2,05;3,143223E-07
2,1;3,178218E-07
2,15;3,251406E-07
2,2;3,288098E-07
2,25;3,31903E-07
2,3;3,338147E-07
2,35;3,365118E-07
2,4;3,389843E-07
2,45;3,416479E-07
2,5;3,446169E-07
2,55;3,466111E-07
2,6;3,485058E-07
2,65;3,507105E-07
2,7;3,536081E-07
2,75;3,558649E-07
2,8;3,567787E-07
2,85;3,578437E-07
2,9;3,589734E-07
2,95;3,604701E-07
3;3,614809E-07
3,05;3,637147E-07
3,1;3,645041E-07
3,15;3,665587E-07
3,2;3,739794E-07
3,25;3,750903E-07
3,3;3,713529E-07
3,35;3,738928E-07
3,4;3,771622E-07
3,45;3,769981E-07
3,5;3,780506E-07
3,55;3,794611E-07
3,6;3,814766E-07
3,65;3,829429E-07
3,7;3,845469E-07
3,75;3,866678E-07
3,8;3,879072E-07
3,85;3,887354E-07
3,9;3,911085E-07
3,95;3,926758E-07
4;4,006831E-07
4,05;4,007647E-07
4,1;3,982081E-07
4,15;3,995506E-07
4,2;4,004269E-07
4,25;4,018191E-07
4,3;4,033956E-07
4,35;4,046565E-07
4,4;4,066359E-07
4,45;4,077273E-07
4,5;4,097461E-07
4,55;4,109591E-07
4,6;4,121188E-07
4,65;4,137445E-07
4,7;4,162638E-07
4,75;4,164976E-07
4,8;4,178509E-07
4,85;4,192929E-07
4,9;4,212229E-07
4,95;4,225402E-07
5;4,304614E-07
5,05;4,247208E-07
5,1;4,259805E-07
5,15;4,266033E-07
5,2;4,280025E-07
5,25;4,294268E-07
5,3;4,311058E-07
5,35;4,315253E-07
5,4;4,326239E-07
5,45;4,345593E-07
5,5;4,35606E-07
5,55;4,457173E-07
5,6;4,434251E-07
5,65;4,398878E-07
5,7;4,40405E-07
5,75;4,415174E-07
5,8;4,423299E-07
5,85;4,428096E-07
5,9;4,439092E-07
5,95;4,450487E-07
6;4,457683E-07
6,05;4,486911E-07
6,1;4,489104E-07
6,15;4,495389E-07
6,2;4,518022E-07
6,25;4,525529E-07
6,3;4,528919E-07
6,35;4,641568E-07
6,4;4,609519E-07
6,45;4,568119E-07
6,5;4,56538E-07
6,55;4,575203E-07
6,6;4,583962E-07
6,65;4,594516E-07
6,7;4,618832E-07
6,75;4,613109E-07
6,8;4,622306E-07
6,85;4,627939E-07
6,9;4,703404E-07
6,95;4,678002E-07
7;4,665841E-07
7,05;4,674739E-07
7,1;4,697095E-07
7,15;4,699698E-07
7,2;4,700971E-07
7,25;4,713289E-07
7,3;4,724193E-07
7,35;4,726606E-07
7,4;4,733969E-07
7,45;4,758623E-07
7,5;4,756147E-07
7,55;4,787638E-07
7,6;4,856894E-07
7,65;4,836612E-07
7,7;4,794172E-07
7,75;4,81039E-07
7,8;4,820647E-07
7,85;4,822872E-07
7,9;4,828601E-07
7,95;4,832344E-07
8;4,84573E-07
8,05;4,870988E-07
8,1;4,866137E-07
8,15;4,875239E-07
8,2;4,887424E-07
8,25;4,917861E-07
8,3;4,969589E-07
8,35;4,941339E-07
8,4;4,923168E-07
8,45;4,936022E-07
8,5;4,935129E-07
8,55;4,952374E-07
8,6;4,955396E-07
8,65;4,964011E-07
8,7;4,965879E-07
8,75;4,991352E-07
8,8;4,99053E-07
8,85;4,997705E-07
8,9;5,010632E-07
8,95;5,08122E-07
9;5,038142E-07
9,05;5,03132E-07
9,1;5,036332E-07
9,15;5,053373E-07
9,2;5,047357E-07
9,25;5,054167E-07
9,3;5,066023E-07
9,35;5,066613E-07
9,4;5,079182E-07
9,45;5,129876E-07
9,5;5,1585E-07
9,55;5,108259E-07
9,6;5,13486E-07
9,65;5,11636E-07
9,7;5,113673E-07
9,75;5,124671E-07
9,8;5,131311E-07
9,85;5,14427E-07
9,9;5,159416E-07
9,95;5,158144E-07
10;5,166419E-07
